n_layers,learning_rates,n_epochs,losses,n_neurons,activations,Score,Accuracy,F1,Precision,Recall,train_accuracy,train_loss
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'relu', 'sigmoid', 'softmax')",97.44680851063832,0.8618645999544108,0.7806336925056626,0.863472230003065,0.7278122738713625,0.9509813162034988,0.1272876349874676
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'relu', 'tanh', 'softmax')",100.2127659574468,0.8595091558392219,0.7832128702933854,0.8351444468467115,0.7449628389823377,0.9492775163673536,0.1332295369597831
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'sigmoid', 'relu', 'softmax')",97.97872340425536,0.8566218372464098,0.7751783565357824,0.8565758748942622,0.7209869527888024,0.949879283969056,0.1317166723632863
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",102.34042553191487,0.8657396854342375,0.7898138890061658,0.8484144406809874,0.7494114932299363,0.9485742457966896,0.1336644072758616
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'sigmoid', 'tanh', 'softmax')",98.51063829787236,0.8630803130461211,0.7897840204162809,0.8235665197457527,0.7642959048877672,0.948001479043262,0.1350207687648458
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'tanh', 'relu', 'softmax')",100.21276595744683,0.8611807613403237,0.7819978008554072,0.8501513076736402,0.7349927852161249,0.9460366715726436,0.1429752068410662
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'tanh', 'sigmoid', 'softmax')",100.74468085106383,0.8659676316389332,0.7892732552982007,0.8554722177693171,0.7424547442847075,0.9507275587810944,0.1278729591490043
4,0.01,20,crossentropy,"(27, 64, 128, 64, 4)","('relu', 'tanh', 'tanh', 'softmax')",98.08510638297874,0.8644479902742953,0.786601818944128,0.8546608091478654,0.739540203189049,0.945877166907132,0.1437641688122493
2,0.01,20,crossentropy,"(27, 32, 4)","('relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
